102123 17:06:47  ERROR - Could not open USB port with pH probe: [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
102123 17:06:48  ERROR - TDS fault
102123 17:06:48  Possible disconnected soil sensor: 0
102123 17:06:48  Possible disconnected soil sensor: 1
102123 17:06:48  Possible disconnected soil sensor: 2
102123 17:06:48  Possible disconnected soil sensor: 3
102123 17:06:48  Possible disconnected soil sensor: 4
102123 17:06:51  ERROR - Could not open USB port with pH probe: [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
102123 17:06:51  ERROR - Could not open USB port with pH probe: [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
102123 17:06:51  ERROR - TDS fault
102123 17:06:51  Possible disconnected soil sensor: 0
102123 17:06:51  Possible disconnected soil sensor: 1
102123 17:06:51  Possible disconnected soil sensor: 2
102123 17:06:51  Possible disconnected soil sensor: 3
102123 17:06:51  Possible disconnected soil sensor: 4
102123 17:06:54  ERROR - Could not open USB port with pH probe: [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
102123 17:06:54  ERROR - Could not open USB port with pH probe: [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
102123 17:06:55  ERROR - TDS fault
102123 17:06:55  Possible disconnected soil sensor: 0
102123 17:06:55  Possible disconnected soil sensor: 1
102123 17:06:55  Possible disconnected soil sensor: 2
102123 17:06:55  Possible disconnected soil sensor: 3
102123 17:06:55  Possible disconnected soil sensor: 4
102123 17:06:58  ERROR - Could not open USB port with pH probe: [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
102123 17:06:58  ERROR - Could not open USB port with pH probe: [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
102123 17:06:58  ERROR - TDS fault
102123 17:06:58  Possible disconnected soil sensor: 0
102123 17:06:58  Possible disconnected soil sensor: 1
102123 17:06:58  Possible disconnected soil sensor: 2
102123 17:06:58  Possible disconnected soil sensor: 3
102123 17:06:58  Possible disconnected soil sensor: 4
102123 17:07:01  ERROR - Could not open USB port with pH probe: [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
102123 17:07:01  ERROR - Could not open USB port with pH probe: [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
102123 17:07:02  ERROR - TDS fault
102123 17:07:02  Possible disconnected soil sensor: 0
102123 17:07:02  Possible disconnected soil sensor: 1
102123 17:07:02  Possible disconnected soil sensor: 2
102123 17:07:02  Possible disconnected soil sensor: 3
102123 17:07:02  Possible disconnected soil sensor: 4
102123 17:07:05  ERROR - Could not open USB port with pH probe: [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
102123 17:07:05  ERROR - Could not open USB port with pH probe: [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
102123 17:07:05  ERROR - TDS fault
102123 17:07:05  Possible disconnected soil sensor: 0
102123 17:07:05  Possible disconnected soil sensor: 1
102123 17:07:05  Possible disconnected soil sensor: 2
102123 17:07:05  Possible disconnected soil sensor: 3
102123 17:07:05  Possible disconnected soil sensor: 4
102123 17:07:08  ERROR - Could not open USB port with pH probe: [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
102123 17:07:08  ERROR - Could not open USB port with pH probe: [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
102123 17:07:09  ERROR - TDS fault
102123 17:07:09  Possible disconnected soil sensor: 0
102123 17:07:09  Possible disconnected soil sensor: 1
102123 17:07:09  Possible disconnected soil sensor: 2
102123 17:07:09  Possible disconnected soil sensor: 3
102123 17:07:09  Possible disconnected soil sensor: 4
102123 17:07:12  ERROR - Could not open USB port with pH probe: [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
102123 17:07:12  ERROR - Could not open USB port with pH probe: [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
102123 17:07:12  ERROR - TDS fault
102123 17:07:12  Possible disconnected soil sensor: 0
102123 17:07:12  Possible disconnected soil sensor: 1
102123 17:07:12  Possible disconnected soil sensor: 2
102123 17:07:12  Possible disconnected soil sensor: 3
102123 17:07:12  Possible disconnected soil sensor: 4
102123 17:07:15  ERROR - Could not open USB port with pH probe: [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
102123 17:07:15  ERROR - Could not open USB port with pH probe: [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
102123 17:07:16  ERROR - TDS fault
102123 17:07:16  Possible disconnected soil sensor: 0
102123 17:07:16  Possible disconnected soil sensor: 1
102123 17:07:16  Possible disconnected soil sensor: 2
102123 17:07:16  Possible disconnected soil sensor: 3
102123 17:07:16  Possible disconnected soil sensor: 4
102123 17:07:19  ERROR - Could not open USB port with pH probe: [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
102123 17:07:19  ERROR - Could not open USB port with pH probe: [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
102123 17:07:19  ERROR - TDS fault
102123 17:07:19  Possible disconnected soil sensor: 0
102123 17:07:19  Possible disconnected soil sensor: 1
102123 17:07:19  Possible disconnected soil sensor: 2
102123 17:07:19  Possible disconnected soil sensor: 3
102123 17:07:19  Possible disconnected soil sensor: 4
102123 17:07:22  ERROR - Could not open USB port with pH probe: [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
102123 17:07:22  ERROR - Could not open USB port with pH probe: [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
102123 17:07:23  ERROR - TDS fault
102123 17:07:23  Possible disconnected soil sensor: 0
102123 17:07:23  Possible disconnected soil sensor: 1
102123 17:07:23  Possible disconnected soil sensor: 2
102123 17:07:23  Possible disconnected soil sensor: 3
102123 17:07:23  Possible disconnected soil sensor: 4
102123 17:07:26  ERROR - Could not open USB port with pH probe: [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
102123 17:07:26  ERROR - Could not open USB port with pH probe: [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
102123 17:07:26  ERROR - TDS fault
102123 17:07:26  Possible disconnected soil sensor: 0
102123 17:07:26  Possible disconnected soil sensor: 1
102123 17:07:26  Possible disconnected soil sensor: 2
